,y [É m],0.6,1.2,1.8,2.4,3,3.6,4.2,4.8,5.4,6,6.6,7.2,7.8,8.4,9,9.6,10.2,10.8,11.4,12,12.6,13.2,13.8,14.4,15,15.6,16.2,16.8,17.4,18,18.6,19.2,19.8,20.4,21,21.6,22.2,22.8,23.4,24,24.6,25.2,25.8,26.4,27,27.6,28.2,28.8,29.4,30,30.6,31.2,31.8,32.4,33,33.6,34.2,34.8,35.4,36,36.6,37.2,37.8,38.4,39,39.6,40.2,40.8,41.4,42,42.6,43.2
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-40,,2553.852885,2496.002885,1689.252885,1339.952885,1134.902885,1065.952885,996.0528846,977.2528846,1077.302885,2316.952885,2575.052885,1938.002885,908.2028846,846.4528846,844.2528846,664.2028846,757.7028846,739.8528846,625.3528846,873.2028846,790.5528846,812.7528846,761.9528846,783.7528846,847.0028846,784.3028846,764.0028846,856.6028846,801.4528846,778.8528846,789.7528846,778.6528846,786.1528846,1244.552885,1462.452885,896.2028846,852.1528846,878.9528846,834.8028846,832.5528846,828.2528846,854.9528846,793.9528846,808.2028846,831.0028846,559.0528846,821.3528846,912.2028846,859.2028846,848.3028846,907.0528846,791.7528846,1263.002885,2351.352885,2575.052885,2057.002885,1189.002885,907.0028846,844.3528846,830.2028846,812.4528846,861.7028846,958.1528846,1022.452885,1104.402885,1165.702885,1252.302885,1799.102885,232.05,669.1,1128.55,1392.05
-32.8,,2560.7,2492.55,1739.45,1316.35,1141.4,1030.85,949.7,975.2,895.65,1868.5,2577.25,2207.9,931.05,849.55,837.65,582.55,665.2,720.45,671.1,849.8,816.1,733.25,724.3,730.25,800,723.65,765.7,788,760.15,762.6,787.65,812.65,845.4,1388.35,1478.15,784.25,799.8,795,876.7,830,821.95,835.75,882.05,844.7,765.25,559,922.15,891.7,832.35,828.25,800.5,965.85,2492.5,2577.25,2577.25,2576.8,2047.25,909.4,853.25,826.25,860.1,852.5,929.65,1012.8,1121.75,1182.05,1342.7,1908.25,287.9115385,853.0615385,971.6115385,1131.161538
-25.6,,2576.811538,2513.311538,1796.511538,1390.461538,1160.661538,1047.511538,998.0115385,933.6615385,938.3615385,1573.361538,2594.461538,2372.411538,978.6115385,813.2115385,841.2615385,551.6615385,748.3115385,777.6115385,718.1115385,869.3615385,795.5115385,766.4115385,841.8115385,734.9615385,800.2615385,792.3115385,750.8615385,765.1115385,817.3615385,831.0615385,802.4115385,867.0615385,883.7615385,1456.161538,1441.511538,793.2115385,867.1615385,824.6115385,861.5615385,825.8115385,836.6615385,921.8115385,822.9115385,823.4615385,777.4115385,662.2615385,930.9615385,968.1615385,885.4615385,871.3615385,838.0615385,905.6115385,2109.811538,2560.361538,2594.461538,2365.661538,1611.661538,917.6115385,850.6615385,828.9115385,818.8115385,877.5615385,947.3615385,1071.461538,1208.261538,1211.461538,1439.361538,2037.761538,279.5461538,794.6461538,1049.496154,1483.096154
-18.4,,2598.717582,2508.167582,1763.917582,1461.617582,1190.117582,1104.617582,1026.467582,946.3675824,1022.167582,2209.167582,2603.167582,1961.867582,857.6175824,826.8675824,828.3175824,534.5675824,755.5675824,762.4675824,794.9675824,815.5675824,825.7175824,767.3675824,756.7175824,780.8175824,754.2175824,768.0675824,743.2175824,803.1675824,820.6175824,727.1175824,805.2175824,848.8675824,914.6175824,1426.217582,1444.167582,828.6675824,792.9675824,771.6675824,869.8175824,857.9175824,833.5675824,842.9175824,853.7675824,957.1675824,749.0675824,592.8675824,926.8175824,908.4675824,875.0175824,861.7675824,898.8675824,1094.267582,2535.317582,2603.167582,2603.167582,2599.167582,1876.167582,967.4175824,896.4675824,850.5675824,886.1175824,976.6175824,1040.767582,1162.767582,1265.667582,1334.967582,1453.917582,2134.367582,277.8653846,459.3653846,822.4153846,1388.865385
-11.2,,2620.560256,2470.460256,1805.760256,1511.510256,1244.910256,1172.660256,1083.960256,975.8102564,1427.610256,2354.510256,2610.210256,1663.310256,875.2102564,883.6602564,833.9602564,600.0102564,723.9602564,680.3602564,741.7602564,796.3102564,940.6102564,857.6102564,828.6102564,833.5602564,766.3602564,746.9102564,803.2102564,876.5602564,857.1102564,737.1102564,808.8102564,869.3602564,868.4602564,1392.460256,1269.010256,809.2102564,837.7102564,901.6102564,796.2602564,869.6602564,814.3602564,919.3102564,923.4102564,827.1102564,776.0602564,636.7602564,921.4102564,936.7102564,919.9102564,883.4102564,877.0102564,924.1102564,1185.660256,2507.460256,2602.010256,1408.660256,891.4102564,902.1602564,877.4102564,881.3602564,874.2602564,983.4602564,1053.960256,1135.960256,1323.160256,1274.360256,1491.860256,2070.560256,98.63461538,341.3846154,751.6346154,1286.084615
-4,,2620.238462,2478.238462,1786.088462,1413.588462,1229.938462,1075.838462,1042.788462,1076.988462,1733.888462,2469.488462,2598.688462,1479.738462,879.5884615,848.3384615,779.5884615,554.8884615,800.2384615,679.3884615,677.5884615,818.7384615,873.9884615,787.3884615,761.4384615,783.2884615,780.8884615,858.6884615,785.6384615,800.5384615,796.7384615,787.9884615,785.9884615,830.5384615,845.8884615,1308.838462,1184.388462,814.4384615,742.1384615,826.4384615,864.4384615,828.6384615,841.5884615,859.3384615,851.4384615,811.9884615,671.1884615,603.9384615,925.0384615,901.7884615,845.8384615,873.8884615,892.6384615,803.2884615,991.8384615,2444.238462,2537.538462,1341.038462,835.6384615,872.8884615,862.9384615,875.8384615,818.6384615,916.5384615,1064.388462,1053.088462,1172.088462,1261.588462,1419.988462,2111.988462,268.7269231,495.3269231,911.5769231,1338.376923
3.2,,2574.478205,2412.928205,1750.928205,1391.028205,1186.378205,1047.128205,953.5782051,937.4282051,900.2282051,1450.778205,2559.878205,2361.178205,1028.228205,768.9782051,755.6782051,531.0282051,716.9282051,661.6782051,690.2782051,769.0282051,740.3282051,716.0282051,767.5282051,699.0282051,677.2282051,697.8282051,652.0782051,736.6282051,703.8282051,708.7782051,762.8782051,737.5782051,841.9782051,1251.678205,1110.828205,733.2782051,795.0282051,775.3782051,720.3782051,778.6282051,741.3282051,760.6282051,753.8782051,826.3782051,647.9782051,551.2282051,864.6782051,827.4282051,787.2782051,760.2782051,761.3782051,785.6782051,908.1282051,2343.428205,2529.778205,1311.478205,900.4782051,811.8282051,824.0782051,795.3782051,813.6782051,832.5282051,972.5282051,1101.678205,1123.978205,1208.978205,1399.178205,2021.078205,188.5807692,296.3307692,584.3307692,1050.880769
10.4,,2529.914103,2399.864103,1562.864103,1211.014103,1075.414103,979.4141026,912.4641026,909.9641026,889.5641026,1106.114103,2495.764103,2532.114103,1297.564103,854.2141026,778.2141026,504.5141026,700.4641026,629.6141026,643.6641026,776.0641026,706.0641026,695.7641026,673.9641026,673.0141026,658.3141026,718.9141026,723.4641026,704.2641026,770.9141026,738.3141026,748.6641026,757.6141026,764.3641026,1096.214103,1017.764103,704.0141026,791.7641026,787.6141026,720.7141026,724.8641026,712.5641026,790.5641026,823.3641026,780.4641026,693.7641026,561.4141026,861.6141026,788.1141026,856.9141026,747.1641026,806.1141026,838.2641026,2245.114103,2545.264103,2546.564103,2301.214103,1347.514103,702.7141026,714.3141026,746.6641026,728.9641026,801.8641026,844.2641026,1003.864103,1033.064103,1080.864103,1315.464103,1933.414103,259.8423077,553.4923077,864.0423077,1305.942308
17.6,,2543.003846,2379.303846,1592.303846,1265.403846,1147.503846,969.5538462,911.5038462,915.5538462,1045.603846,2275.853846,2555.053846,1603.753846,754.7538462,722.0538462,721.6038462,510.2538462,721.0038462,565.6038462,589.1038462,694.7538462,701.6538462,674.7538462,653.5038462,649.2538462,669.2538462,649.9038462,641.4038462,685.6038462,751.4038462,665.3038462,699.0038462,758.3038462,779.5038462,1173.453846,1027.503846,691.7538462,722.4038462,735.5038462,685.2538462,712.8538462,714.1538462,736.5038462,707.1038462,740.7538462,694.3038462,519.8038462,823.5538462,809.2538462,799.6038462,707.0038462,682.9038462,993.2538462,2538.953846,2553.003846,2553.903846,2546.453846,1396.103846,764.2038462,771.7038462,699.7038462,716.9038462,772.1038462,877.6538462,998.8038462,1050.203846,1122.003846,1386.553846,2022.453846,621.2307692,1134.480769,1237.730769,1272.830769
24.8,,2557.025641,2382.175641,1609.525641,1226.425641,1017.225641,1013.325641,882.175641,1559.975641,2447.725641,2560.275641,2248.525641,907.375641,738.675641,727.475641,730.675641,439.075641,708.725641,666.675641,644.575641,695.825641,714.175641,635.975641,717.225641,617.425641,576.975641,623.075641,650.875641,635.325641,637.575641,666.275641,698.875641,718.075641,755.925641,1091.575641,960.825641,666.525641,730.875641,691.325641,727.925641,723.775641,658.325641,741.425641,685.575641,761.125641,664.175641,557.275641,784.225641,752.525641,749.925641,733.575641,725.325641,727.575641,1771.375641,2541.525641,2511.125641,1989.025641,943.475641,730.725641,682.925641,694.275641,670.325641,759.175641,858.225641,947.075641,1007.025641,1028.675641,1261.325641,1960.325641,559.8538462,953.3538462,1202.453846,1503.853846
32,,2515.160256,2362.410256,1489.610256,1169.660256,1003.660256,857.9602564,846.6602564,1108.210256,1670.560256,2243.510256,2420.360256,1393.960256,681.8102564,720.2602564,647.8602564,425.1102564,615.8602564,537.9602564,586.4102564,610.4602564,625.0602564,622.4602564,593.2102564,622.7102564,533.6602564,595.0102564,584.5102564,519.7602564,590.2602564,602.9602564,642.1602564,632.4102564,619.1102564,990.1602564,798.3102564,607.5602564,606.0602564,698.9602564,689.6602564,659.4102564,625.1602564,629.3602564,653.9102564,606.7602564,552.3602564,458.7102564,757.0602564,647.9102564,584.2102564,688.8602564,599.6602564,692.3602564,1590.260256,2417.460256,2470.810256,1617.260256,911.3102564,664.2602564,633.5602564,629.9102564,657.9102564,668.6102564,717.2102564,870.9602564,904.6602564,989.0102564,1203.910256,1838.310256,760.3653846,1118.015385,1223.165385,1305.865385
39.2,,2506.926923,2267.376923,1396.426923,1091.676923,905.9769231,768.0769231,766.3269231,817.1269231,710.9769231,1549.376923,2528.176923,2112.976923,731.7269231,610.7269231,654.8269231,527.8269231,613.3269231,442.5269231,560.4269231,624.0269231,607.1269231,520.4769231,546.2769231,494.2269231,518.7269231,556.1769231,586.7769231,586.1269231,612.5769231,631.6269231,669.9769231,580.2769231,635.4769231,939.4769231,764.2269231,472.1769231,562.3769231,631.5269231,576.7769231,561.9769231,617.0769231,639.7269231,561.9769231,635.0769231,529.6769231,438.0269231,690.4269231,647.6269231,607.4769231,624.2769231,576.9769231,654.1269231,710.2769231,2197.526923,2378.726923,796.2269231,667.2269231,617.5269231,579.0269231,539.4769231,520.7269231,651.7269231,717.0269231,837.6769231,879.6769231,949.3269231,1102.476923,1789.676923,740.9576923,950.6076923,1262.157692,1706.207692
46.4,,2524.429487,2244.029487,1289.629487,1063.779487,862.9794872,792.6294872,736.9794872,770.1294872,955.8294872,2198.629487,2530.829487,1434.679487,626.5794872,559.4294872,582.7794872,482.0794872,667.2794872,457.2294872,464.7294872,561.3794872,571.5294872,490.8294872,534.5294872,511.7794872,460.4294872,461.1794872,521.1794872,546.9794872,495.3794872,520.3294872,570.0294872,506.0294872,548.2794872,819.8794872,716.0794872,551.1794872,546.4294872,596.4794872,534.9294872,542.8294872,540.5794872,542.3794872,531.5794872,520.0794872,504.2794872,450.3794872,663.1794872,621.1794872,583.0294872,509.9794872,594.9294872,558.8794872,1667.029487,2482.379487,2445.879487,1709.579487,737.2794872,512.1794872,522.7794872,506.7294872,483.4294872,572.1294872,635.5794872,757.4294872,784.1294872,850.6794872,1042.929487,1688.179487,805.3346154,1046.034615,1345.834615,1719.384615
